Final,Actions,RIN,Agency,Sub,Priority,Init,Finish,Reviews,Reviewed,Init_d,Finish_d,pages,comments
1,4,0503-AA34,USDA,AgSEC,Other Significant,2/10/10,11/17/10,3,1,18303,18583,9,5
1,1,0503-AA41,USDA,AgSEC,Info./Admin./Other,7/23/10,7/23/10,0,0,18466,18466,29,0
1,3,0505-AA13,USDA,OCFO,"Substantive, Nonsignificant",11/24/08,8/13/10,0,0,17860,18487,0,0
1,1,0510-AA03,USDA,OGC,"Substantive, Nonsignificant",4/7/10,4/7/10,0,0,18359,18359,7,0
1,3,0524-AA43,USDA,NIFA,"Substantive, Nonsignificant",7/9/09,4/19/10,0,0,18087,18371,10,0
1,2,0524-AA60,USDA,NIFA,"Substantive, Nonsignificant",9/27/10,9/27/10,0,0,18532,18532,3,0
1,2,0560-AH88,USDA,FSA,"Substantive, Nonsignificant",7/16/10,7/16/10,0,0,18459,18459,4,0
1,10,0560-AH92,USDA,FSA,Economically Significant,10/1/08,10/27/10,3,1,17806,18562,43,244
1,2,0560-AH96,USDA,FSA,"Substantive, Nonsignificant",5/7/10,5/7/10,0,0,18389,18389,8,0
1,2,0560-AI00,USDA,FSA,"Substantive, Nonsignificant",11/19/10,11/19/10,0,0,18585,18585,2,0
1,1,0560-AI08,USDA,FSA,"Substantive, Nonsignificant",6/17/10,6/17/10,0,0,18430,18430,8,0
1,5,0563-AC10,USDA,FCIC,Routine and Frequent,9/8/09,8/25/10,0,0,18148,18499,16,0
1,4,0563-AC21,USDA,FCIC,Routine and Frequent,11/24/09,8/30/10,0,0,18225,18504,12,0
1,3,0572-AC14,USDA,RUS,"Substantive, Nonsignificant",1/22/10,6/24/10,0,0,18284,18437,5,0
1,3,0572-AC18,USDA,RUS,"Substantive, Nonsignificant",2/5/10,7/22/10,0,0,18298,18465,0,0
1,1,0575-AC85,USDA,RHS,"Substantive, Nonsignificant",8/26/10,8/26/10,0,0,18500,18500,7,0
1,5,0578-AA43,USDA,NRCS,Economically Significant,7/29/09,6/3/10,2,1,18107,18416,54,2
1,7,0578-AA49,USDA,NRCS,Other Significant,1/16/09,11/23/10,2,1,17913,18589,20,0
1,4,0579-AC95,USDA,APHIS,Routine and Frequent,4/21/09,5/28/10,0,0,18008,18410,5,6
1,7,0581-AC84,USDA,AMS,"Substantive, Nonsignificant",12/1/08,5/6/10,0,0,17867,18388,2,0
1,4,0581-AC92,USDA,AMS,"Substantive, Nonsignificant",3/11/10,9/23/10,0,0,18332,18528,3,0
1,4,0581-AC93,USDA,AMS,"Substantive, Nonsignificant",1/12/10,7/7/10,0,0,18274,18450,4,35
1,4,0581-AC98,USDA,AMS,"Substantive, Nonsignificant",10/26/09,4/7/10,0,0,18196,18359,9,0
1,4,0581-AC99,USDA,AMS,Routine and Frequent,4/27/10,6/18/10,0,0,18379,18431,2,0
1,3,0583-AD33,USDA,FSIS,Other Significant,5/24/10,11/15/10,0,0,18406,18581,3,0
1,6,0584-AD31,USDA,FNS,Other Significant,10/16/03,6/11/10,2,1,15994,18424,24,0
1,1,0584-AD48,USDA,FNS,"Substantive, Nonsignificant",4/12/10,4/12/10,0,0,18364,18364,0,0
1,2,0605-AA26,DOC,ADMIN,"Substantive, Nonsignificant",3/8/10,3/26/10,0,0,18329,18347,63,0
1,4,0648-AV94,DOC,NOAA,"Substantive, Nonsignificant",5/21/09,7/2/10,0,0,18038,18445,19,9
1,4,0648-AW09,DOC,NOAA,"Substantive, Nonsignificant",1/11/10,10/27/10,0,0,18273,18562,8,29
1,8,0648-AW18,DOC,NOAA,"Substantive, Nonsignificant",3/27/09,10/27/10,0,0,17983,18562,12,15
1,4,0648-AW30,DOC,NOAA,"Substantive, Nonsignificant",1/21/10,6/16/10,0,0,18283,18429,0,11
1,11,0648-AW65,DOC,NOAA,"Substantive, Nonsignificant",5/7/08,6/1/10,0,0,17659,18414,48,39
1,6,0648-AW72,DOC,NOAA,Other Significant,10/23/09,5/1/10,2,1,18193,18383,93,66
1,4,0648-AX67,DOC,NOAA,"Substantive, Nonsignificant",1/15/10,5/24/10,0,0,18277,18406,10,571
1,5,0648-AX75,DOC,NOAA,"Substantive, Nonsignificant",7/6/09,1/4/10,0,0,18084,18266,0,1146
1,5,0648-AX76,DOC,NOAA,"Substantive, Nonsignificant",5/21/10,10/4/10,0,0,18403,18539,6,3
1,4,0648-AX80,DOC,NOAA,"Substantive, Nonsignificant",11/27/09,5/10/10,0,0,18228,18392,4,1
